,,,,
ID,Name,Author,category,language
S-1,Bahor keldi seni so‘roqlab,Zulfiyaxonim Isroilova,so'z chamani,O'zbek
S-2,Bahor keldi seni so‘roqlab,Zulfiyaxonim Isroilova,so'z chamani,O'zbek
S-3,Ilohiynoma,Shayx Fariduddin Attor,so'z chamani,O'zbek
S-4,Ilohiynoma,Shayx Fariduddin Attor,so'z chamani,O'zbek
S-5,Ishqing tuproq qilgay,Umar Xayyom,so'z chamani,O'zbek
S-6,Ishqing tuproq qilgay,Umar Xayyom,so'z chamani,O'zbek
S-7,Iymon asiri,Rauf Parfi,so'z chamani,O'zbek
S-8,Iymon asiri,Rauf Parfi,so'z chamani,O'zbek
S-9,Izlam,Faxriyor,so'z chamani,O'zbek
S-10,Izlam,Faxriyor,so'z chamani,O'zbek
S-11,O‘zbegim,Erkin Vohidov,so'z chamani,O'zbek
S-12,O‘zbegim,Erkin Vohidov,so'z chamani,O'zbek
S-13,Oy sohili,Muhayyo Rustam qizi,so'z chamani,O'zbek
S-14,Oy sohili,Muhayyo Rustam qizi,so'z chamani,O'zbek
S-15,She’rlar,Cho‘lpon,so'z chamani,O'zbek
S-16,She’rlar,Cho‘lpon,so'z chamani,O'zbek
S-17,So'z chamani,To‘ra Sulaymon,so'z chamani,O'zbek
S-18,So'z chamani,To‘ra Sulaymon,so'z chamani,O'zbek
S-19,So'z chamani,Shayxzoda Atoyi,so'z chamani,O'zbek
S-20,So'z chamani,Shayxzoda Atoyi,so'z chamani,O'zbek
S-21,So'z chamani,O‘tkir Rahmat,so'z chamani,O'zbek
S-22,So'z chamani,O‘tkir Rahmat,so'z chamani,O'zbek
S-23,So'z chamani,Matnazar Abdulhakim,so'z chamani,O'zbek
S-24,So'z chamani,Matnazar Abdulhakim,so'z chamani,O'zbek
S-25,So'z chamani,Fuzuliy,so'z chamani,O'zbek
S-26,So'z chamani,Fuzuliy,so'z chamani,O'zbek
S-27,So'z chamani,Axtamquli,so'z chamani,O'zbek
S-28,So'z chamani,Axtamquli,so'z chamani,O'zbek
S-29,So'z chamani,Abduvali Qutbiddin,so'z chamani,O'zbek
S-30,So'z chamani,Abduvali Qutbiddin,so'z chamani,O'zbek
S-31,Tanlangan asarlar,Tursun Ali,so'z chamani,O'zbek
S-32,Tanlangan asarlar,Tursun Ali,so'z chamani,O'zbek
S-33,Turk she’riyati antologiyasi,Mustafa Avji,so'z chamani,O'zbek
S-34,Turk she’riyati antologiyasi,Mustafa Avji,so'z chamani,O'zbek
S-35,Meni kuchliroq sev,Muhammad Ismoil,so'z chamani,O'zbek
S-36,Davlating borida...,Shamsiddin Sadoiy,so'z chamani,O'zbek
S-37,Tanlangan asarlar,Omon Matjon,so'z chamani,O'zbek
